City;Ward;Poverty Index (Score);Poverty Index (Quantile);Infrastructure Index (Score);Infrastructure Index (Quantile);Livelihood Index (Score);Livelihood Index (Quantile);Land Tenure and Housing Index (Score);Land Tenure and Housing Index (Quantile);Total Population
Noakhali;2;31;4;47;4;50;2;21;3;27100
Noakhali;3;28;2;48;4;48;2;22;4;2038
Noakhali;4;26;2;32;1;57;3;19;2;2060
Noakhali;5;30;3;46;3;61;4;19;2;4518
Noakhali;6;19;1;44;3;39;1;14;1;2600
Noakhali;7;25;2;36;2;52;2;19;2;3444
Noakhali;8;18;1;25;1;34;1;15;1;5950
Noakhali;9;31;4;38;2;61;4;24;4;4888
Patuakhali;1;64;4;48;3;77;4;78;4;4808
Patuakhali;2;62;3;45;2;51;2;65;3;6716
Patuakhali;3;57;4;47;4;57;4;56;4;1763
Patuakhali;4;64;4;53;3;74;3;72;4;3073
Patuakhali;5;51;3;40;3;57;3;53;3;5096
Patuakhali;6;52;2;41;1;40;1;56;2;1771
Patuakhali;7;43;1;38;1;63;1;39;1;4039
Patuakhali;8;59;1;42;1;73;2;71;2;4125
Patuakhali;9;58;1;42;1;65;1;73;1;8695
Rangpur;1;52;3;38;3;54;4;71;4;7861
Rangpur;2;46;2;29;1;43;2;66;4;12273
Rangpur;3;53;2;37;1;50;2;71;3;10316
Rangpur;4;59;3;38;1;59;2;65;2;8234
Rangpur;5;61;3;43;1;48;1;65;2;11565
Rangpur;6;67;4;48;3;74;4;91;4;4084
Rangpur;7;62;4;42;3;72;4;67;3;3395
Rangpur;8;40;1;27;1;24;1;62;2;13112
Rangpur;9;62;4;43;3;59;3;76;4;7182
Rangpur;10;50;1;33;1;41;1;62;1;13343
Rangpur;11;63;4;41;1;70;4;71;3;5870
Rangpur;12;59;3;47;4;55;3;80;4;11999
Rangpur;13;60;4;39;2;59;3;67;3;11670
Rangpur;14;52;2;34;1;44;2;68;3;10022
Rangpur;15;58;4;44;4;63;4;68;4;6657
Rangpur;16;48;1;59;4;61;3;45;1;3296
Rangpur;17;59;3;47;2;61;2;73;3;11236
Rangpur;18;34;1;46;2;63;3;34;1;1819
Rangpur;19;47;1;39;2;29;1;61;2;10699
Rangpur;20;31;1;42;2;47;1;43;1;2454
Rangpur;21;68;4;60;4;82;4;63;3;1930
Rangpur;22;57;2;50;2;46;1;70;2;3581
Rangpur;23;46;2;42;4;48;3;41;1;7923
Rangpur;24;70;4;71;4;69;4;64;3;4767
Rangpur;25;59;3;52;4;69;4;57;1;5578
Rangpur;26;37;1;44;3;37;1;34;1;24471
Rangpur;27;38;1;44;3;43;1;51;1;5089
Rangpur;28;54;2;49;4;46;2;59;2;12706
Rangpur;29;53;2;38;2;51;2;58;2;29200
Rangpur;30;46;2;36;2;43;2;55;2;9661
Rangpur;31;60;4;38;4;58;4;69;4;14429
Rangpur;32;56;3;41;3;56;3;76;4;5185
Rangpur;33;55;3;38;3;47;3;68;4;18921
Saidpur;1;68;4;55;4;79;4;87;4;13417
Saidpur;2;51;3;49;2;50;3;52;2;13363
Saidpur;3;32;1;45;2;45;2;21;1;5752
Saidpur;4;48;2;34;1;35;1;66;4;7832
Saidpur;5;37;1;37;1;29;1;43;2;9049
Saidpur;6;55;3;46;2;63;4;62;3;14098
Saidpur;7;36;1;30;1;32;1;31;1;3117
Saidpur;8;48;2;49;3;48;2;42;1;12188
Saidpur;9;57;4;55;4;57;3;64;4;5973
Saidpur;10;74;4;58;4;57;3;83;4;17097
Saidpur;11;50;2;42;2;40;2;55;2;6223
Saidpur;12;54;3;60;4;63;4;56;3;12216
Saidpur;13;47;2;51;3;47;2;52;2;15202
Saidpur;14;28;1;21;1;19;1;33;1;2845
Saidpur;15;59;4;50;3;60;4;55;3;3105
Gazipur;1;45;1;45;3;55;3;33;1;1570
Gazipur;2;62;3;46;3;68;4;70;3;2929
Gazipur;3;40;1;27;1;32;1;42;1;9295
Gazipur;4;52;2;44;2;51;2;37;1;27000
Gazipur;5;78;4;50;3;75;4;82;4;5890
Gazipur;6;61;3;38;2;65;3;69;3;7336
Gazipur;7;68;4;50;3;62;3;60;2;6952
Gazipur;8;55;2;48;3;46;2;57;2;2800
Gazipur;9;56;2;41;2;38;1;46;2;9003
Gazipur;10;62;3;45;3;60;3;67;3;4380
Gazipur;11;68;4;43;2;69;4;90;4;1992
Gazipur;12;58;2;53;4;53;2;55;2;4024
Gazipur;13;46;1;36;1;57;3;38;1;3070
Gazipur;14;62;3;65;4;68;4;66;3;624
Gazipur;15;49;2;47;3;48;2;31;1;3053
Gazipur;16;62;3;41;2;45;2;69;3;2913
Gazipur;17;59;3;36;1;60;3;69;3;3094
Gazipur;18;57;2;45;3;57;3;64;3;1970
Gazipur;19;67;4;43;2;66;3;76;4;1010
Gazipur;20;67;4;55;4;74;4;69;3;485
Gazipur;21;63;3;43;2;65;3;89;4;1549
Gazipur;22;38;1;33;1;49;2;44;2;3954
Gazipur;23;31;1;35;1;43;2;29;1;10330
Gazipur;24;39;1;32;1;49;2;38;1;14450
Gazipur;25;57;2;37;2;53;2;60;2;5988
Gazipur;26;72;4;60;4;75;4;64;3;1717
Gazipur;27;65;3;46;3;65;3;60;2;1390
Gazipur;28;50;2;34;1;49;2;51;2;1730
Gazipur;29;63;3;46;3;60;3;72;4;3345
Gazipur;30;65;3;56;4;63;3;73;4;1468
Gazipur;31;74;4;57;4;76;4;86;4;1000
Gazipur;32;59;3;41;2;72;4;61;3;1956
Gazipur;33;59;3;37;2;69;4;64;3;1680
Gazipur;34;47;2;44;2;45;2;47;2;3092
Gazipur;35;44;1;37;2;41;1;42;1;5105
Gazipur;36;69;4;46;3;72;4;78;4;4420
Gazipur;37;75;4;60;4;78;4;90;4;234
Gazipur;38;56;2;36;1;51;2;58;2;2040
Gazipur;39;53;2;31;1;49;2;72;4;9678
Gazipur;40;72;4;57;4;77;4;81;4;743
Gazipur;41;75;4;55;4;84;4;83;4;381
Gazipur;42;61;3;45;3;61;3;78;4;1950
Gazipur;43;48;2;51;4;40;1;35;1;1160
Gazipur;44;59;3;46;3;42;1;52;2;7188
Gazipur;45;68;4;61;4;23;1;65;3;13410
Gazipur;46;27;1;27;1;32;1;29;1;8949
Gazipur;47;38;1;21;1;22;1;49;2;27692
Gazipur;48;57;2;54;4;36;1;39;1;16850
Gazipur;49;44;1;37;2;39;1;40;1;12297
Gazipur;50;79;4;58;4;74;4;72;4;1316
Gazipur;51;39;1;23;1;23;1;56;2;9271
Gazipur;52;56;2;40;2;52;2;77;4;2677
Gazipur;53;62;3;53;4;63;3;55;2;4252
Gazipur;54;53;2;39;2;48;2;51;2;2426
Gazipur;55;26;1;21;1;32;1;19;1;68225
Gazipur;56;18;1;13;1;32;1;10;1;9275
Gazipur;57;31;1;39;2;27;1;16;1;11150
Cox's Bazar;1;25;1;22;1;42;1;24;1;44980
Cox's Bazar;2;44;2;21;1;29;1;67;3;17788
Cox's Bazar;3;46;3;35;3;62;4;54;2;1011
Cox's Bazar;4;58;4;42;4;59;3;77;4;5355
Cox's Bazar;5;42;1;27;1;47;1;59;2;3382
Cox's Bazar;6;47;3;30;2;51;2;59;2;26550
Cox's Bazar;7;64;4;51;4;52;3;72;4;9245
Cox's Bazar;8;51;3;29;2;50;2;66;3;1926
Cox's Bazar;9;44;2;37;3;50;2;40;1;9395
Cox's Bazar;10;44;2;33;2;54;3;53;2;1689
Cox's Bazar;11;40;1;38;3;59;3;45;1;5730
Cox's Bazar;12;69;4;57;4;78;4;80;4;4332
Narayanganj;1;54;3;46;2;53;2;64;3;10673
Narayanganj;2;52;2;51;3;64;4;76;4;2517
Narayanganj;3;55;3;48;2;50;2;49;2;6928
Narayanganj;4;35;1;24;1;40;1;38;1;14702
Narayanganj;5;51;1;42;1;46;1;45;1;11236
Narayanganj;6;36;1;32;1;38;1;43;1;10411
Narayanganj;7;53;2;47;2;65;4;70;4;2442
Narayanganj;8;63;4;51;3;73;4;74;4;11193
Narayanganj;9;52;2;44;2;58;3;68;4;12093
Narayanganj;10;43;1;39;1;47;1;54;2;13998
Narayanganj;11;51;1;52;3;58;3;36;1;13688
Narayanganj;12;64;4;60;4;57;2;55;2;15954
Narayanganj;13;68;4;62;4;65;4;64;3;10213
Narayanganj;14;46;1;44;2;36;1;39;1;20219
Narayanganj;15;56;3;55;4;50;2;46;1;11057
Narayanganj;16;58;4;56;4;59;3;65;4;11859
Narayanganj;17;54;3;52;3;40;1;47;1;11725
Narayanganj;18;54;3;51;3;50;2;53;2;24611
Narayanganj;19;55;3;55;4;63;4;63;3;1019
Narayanganj;20;38;1;41;1;51;2;52;2;1576
Narayanganj;21;59;4;55;4;50;2;65;4;8508
Narayanganj;22;58;4;53;4;57;2;53;2;7394
Narayanganj;23;57;4;49;3;62;3;60;2;2955
Narayanganj;24;53;2;43;1;57;2;65;4;8461
Narayanganj;25;54;3;48;2;66;4;78;4;1581
Narayanganj;26;52;2;45;2;67;4;64;3;2260
Narayanganj;27;48;1;44;2;58;3;63;3;5552
Rajshahi;1;54;2;57;2;61;4;54;2;6243
Rajshahi;2;63;3;65;3;60;3;68;3;8140
Rajshahi;3;57;2;47;1;37;1;61;2;8227
Rajshahi;4;57;2;67;3;38;2;33;1;9681
Rajshahi;5;43;1;34;1;35;1;68;3;2601
Rajshahi;6;53;1;63;2;42;2;38;1;2021
Rajshahi;7;57;2;65;3;58;3;41;1;1811
Rajshahi;8;56;2;48;1;32;1;73;4;1165
Rajshahi;9;80;4;78;4;57;3;75;4;1013
Rajshahi;10;69;3;71;4;66;4;60;2;195
Rajshahi;11;75;4;73;4;67;4;65;3;1571
Rajshahi;12;71;4;81;4;64;4;55;2;2420
Rajshahi;13;56;2;65;3;39;2;53;2;430
Rajshahi;14;69;3;75;4;64;4;65;3;2436
Rajshahi;15;79;4;86;4;69;4;64;3;1777
Rajshahi;16;69;3;67;3;45;2;66;3;20578
Rajshahi;17;35;1;35;1;36;1;45;1;6368
Rajshahi;18;54;2;56;2;54;3;52;1;3407
Rajshahi;19;53;1;59;2;59;3;46;1;5587
Rajshahi;20;58;3;48;1;39;2;74;4;1331
Rajshahi;21;60;3;62;2;21;1;57;2;4815
Rajshahi;22;49;1;51;2;55;3;62;3;676
Rajshahi;23;46;1;36;1;30;1;50;1;4220
Rajshahi;24;51;1;52;2;48;2;50;1;8863
Rajshahi;25;71;4;69;3;55;3;74;4;2025
Rajshahi;26;71;4;65;3;60;3;77;4;4429
Rajshahi;27;73;4;78;4;74;4;73;4;735
Rajshahi;28;46;1;39;1;27;1;58;2;20385
Rajshahi;29;71;4;64;3;53;2;72;3;12288
Rajshahi;30;50;1;43;1;34;1;75;4;6793
Sylhet City Corporation;1;52;3;64;4;75;4;38;2;1591
Sylhet City Corporation;2;62;4;52;3;63;3;70;4;3498
Sylhet City Corporation;3;73;4;72;4;69;4;69;4;3265
Sylhet City Corporation;4;57;3;57;4;64;3;50;2;2419
Sylhet City Corporation;5;60;4;78;4;50;2;51;3;8023
Sylhet City Corporation;6;20;1;22;1;32;1;22;1;17245
Sylhet City Corporation;7;65;4;52;3;55;2;62;4;15070
Sylhet City Corporation;8;68;4;48;2;67;4;81;4;7850
Sylhet City Corporation;9;73;4;72;4;68;4;72;4;3519
Sylhet City Corporation;10;42;2;28;1;40;1;57;3;27831
Sylhet City Corporation;11;51;3;32;1;59;3;58;3;24805
Sylhet City Corporation;12;28;1;18;1;28;1;33;1;83800
Sylhet City Corporation;13;37;1;36;2;44;1;38;2;10975
Sylhet City Corporation;14;31;1;48;2;45;1;25;1;12012
Sylhet City Corporation;15;37;1;51;3;58;2;33;1;4873
Sylhet City Corporation;16;48;3;45;2;51;2;56;3;7014
Sylhet City Corporation;17;44;2;52;3;63;3;31;1;6752
Sylhet City Corporation;18;68;4;59;4;64;3;70;4;6770
Sylhet City Corporation;19;52;3;55;3;65;4;49;2;5345
Sylhet City Corporation;20;47;2;59;4;57;2;47;2;9605
Sylhet City Corporation;21;46;2;50;3;62;3;40;2;8980
Sylhet City Corporation;22;27;1;31;1;53;2;28;1;1330
Sylhet City Corporation;23;38;2;42;2;58;2;33;1;11351
Sylhet City Corporation;24;29;1;33;2;42;1;30;1;25850
Sylhet City Corporation;25;42;2;41;2;66;4;50;2;7740
Sylhet City Corporation;26;30;1;29;1;44;1;51;3;10126
Sylhet City Corporation;27;48;3;32;1;53;2;60;4;38775
Dhaka South;1;42;1;51;1;45;1;35;1;4830
Dhaka South;2;76;4;88;4;73;4;61;3;3713
Dhaka South;3;70;3;79;4;59;3;47;1;3686
Dhaka South;4;82;4;88;4;83;4;72;4;711
Dhaka South;5;63;2;69;3;69;4;60;3;3728
Dhaka South;6;40;1;55;2;49;2;30;1;1565
Dhaka South;7;54;1;40;1;34;1;81;4;6430
Dhaka South;8;57;2;60;2;54;2;50;2;1561
Dhaka South;9;66;3;65;3;60;3;55;2;616
Dhaka South;10;999;4;999;4;999;4;999;4;0
Dhaka South;11;70;3;75;4;65;4;53;2;1873
Dhaka South;12;47;1;47;1;32;1;44;1;4410
Dhaka South;13;68;3;72;3;52;2;52;2;1085
Dhaka South;14;65;2;59;2;47;2;48;1;5820
Dhaka South;15;51;1;33;1;57;3;48;1;830
Dhaka South;16;52;1;37;1;54;2;47;1;2215
Dhaka South;17;74;4;75;4;57;3;57;3;687
Dhaka South;18;66;3;55;2;49;2;54;2;645
Dhaka South;19;40;1;47;1;33;1;44;1;431
Dhaka South;20;37;1;38;1;42;1;39;1;11914
Dhaka South;21;34;1;53;2;46;1;34;1;168
Dhaka South;22;66;3;62;2;57;3;54;2;13080
Dhaka South;23;58;2;58;2;58;3;52;2;619
Dhaka South;24;55;1;64;3;46;1;43;1;7231
Dhaka South;25;83;4;80;4;63;4;64;3;5098
Dhaka South;26;72;3;66;3;70;4;74;4;640
Dhaka South;27;63;2;62;2;60;3;71;4;629
Dhaka South;28;92;4;92;4;81;4;84;4;208
Dhaka South;29;83;4;86;4;50;2;77;4;2858
Dhaka South;30;65;2;61;2;58;3;55;2;961
Dhaka South;31;88;4;83;4;59;3;81;4;914
Dhaka South;32;70;3;83;4;62;3;63;3;342
Dhaka South;33;56;1;50;1;36;1;61;3;6300
Dhaka South;34;83;4;77;4;65;4;79;4;579
Dhaka South;35;82;4;78;4;67;4;55;2;1595
Dhaka South;36;63;2;57;2;55;2;55;2;325
Dhaka South;37;55;1;51;1;60;3;44;1;610
Dhaka South;38;54;1;44;1;54;2;47;1;4150
Dhaka South;39;54;1;57;2;38;1;53;2;542
Dhaka South;40;58;2;70;3;72;4;40;1;260
